user_id,user_ip,workflow_id,created_at,gold_standard,expert,metadata,annotations,subject_data
1845,90.56.25.250,945,2015-05-01 11:40:31 UTC,,,"{""started_at"":""2015-05-01T11:40:22.036Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:40:30.682Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":3},{""task"":""T2"",""value"":null}]","{""5749"":{""maxx"":-7182634.672897999,""maxy"":-2974317.6442130003,""minx"":-7185692.154029,""miny"":-2976610.755061,""img_index"":5,""tilename_jpg"":""L15-0651E-0864N_001_038.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:41:06 UTC,,,"{""started_at"":""2015-05-01T11:40:48.007Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:41:06.764Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":null}]","{""5750"":{""maxx"":-7167347.267242999,""maxy"":-2974317.6442130003,""minx"":-7170404.748374,""miny"":-2976610.755061,""img_index"":10,""tilename_jpg"":""L15-0651E-0864N_001_043.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:42:09 UTC,,,"{""started_at"":""2015-05-01T11:41:11.116Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:42:08.518Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":3},{""task"":""T2"",""value"":null}]","{""5751"":{""maxx"":-7164289.786111999,""maxy"":-2974317.6442130003,""minx"":-7167347.267242999,""miny"":-2976610.755061,""img_index"":11,""tilename_jpg"":""L15-0651E-0864N_001_044.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:42:36 UTC,,,"{""started_at"":""2015-05-01T11:42:09.686Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:42:35.845Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":null}]","{""5754"":{""maxx"":-7191807.1162910005,""maxy"":-2976610.755061,""minx"":-7194864.597422,""miny"":-2978903.865909,""img_index"":15,""tilename_jpg"":""L15-0651E-0864N_002_035.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:42:58 UTC,,,"{""started_at"":""2015-05-01T11:42:37.514Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:42:58.528Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":2}]","{""5758"":{""maxx"":-7164289.786111999,""maxy"":-2976610.755061,""minx"":-7167347.267242999,""miny"":-2978903.865909,""img_index"":24,""tilename_jpg"":""L15-0651E-0864N_002_044.jpg""}}"
,129.67.95.189,945,2015-05-01 11:43:11 UTC,,,"{""started_at"":""2015-05-01T11:40:47.216Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:43:10.892Z"",""user_language"":""en"",""workflow_version"":""13186.13187""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":1}]","{""5886"":{""maxx"":-7216266.965338,""maxy"":-3020179.861178,""minx"":-7219324.446469001,""miny"":-3022472.972026,""img_index"":357,""tilename_jpg"":""L15-0651E-0864N_021_027.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:43:31 UTC,,,"{""started_at"":""2015-05-01T11:43:18.081Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:43:31.724Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":0}]","{""5759"":{""maxx"":-7161232.304981,""maxy"":-2976610.755061,""minx"":-7164289.786111999,""miny"":-2978903.865909,""img_index"":25,""tilename_jpg"":""L15-0651E-0864N_002_045.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:44:54 UTC,,,"{""started_at"":""2015-05-01T11:44:43.169Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:44:54.568Z"",""user_language"":""en"",""workflow_version"":""13186.13184""}","[{""task"":""T1"",""value"":3},{""task"":""T2"",""value"":null}]","{""5751"":{""maxx"":-7164289.786111999,""maxy"":-2974317.6442130003,""minx"":-7167347.267242999,""miny"":-2976610.755061,""img_index"":11,""tilename_jpg"":""L15-0651E-0864N_001_044.jpg""}}"
,129.67.95.189,945,2015-05-01 11:46:04 UTC,,,"{""started_at"":""2015-05-01T11:43:24.595Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36"",""finished_at"":""2015-05-01T11:46:04.160Z"",""user_language"":""en"",""workflow_version"":""13186.13187""}","[{""task"":""T1"",""value"":6},{""task"":""T2"",""value"":2}]","{""5898"":{""maxx"":-7231554.3709929995,""maxy"":-3024766.082874,""minx"":-7234611.852124001,""miny"":-3027059.1937220003,""img_index"":392,""tilename_jpg"":""L15-0651E-0864N_023_022.jpg""}}"
1845,90.56.25.250,945,2015-05-01 11:46:37 UTC,,,"{""started_at"":""2015-05-01T11:46:12.192Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.90 Safari/537.36"",""finished_at"":""2015-05-01T11:46:36.743Z"",""user_language"":""en"",""workflow_version"":""13186.13188""}","[{""task"":""T1"",""value"":4},{""task"":""T2"",""value"":null}]","{""5754"":{""maxx"":-7191807.1162910005,""maxy"":-2976610.755061,""minx"":-7194864.597422,""miny"":-2978903.865909,""img_index"":15,""tilename_jpg"":""L15-0651E-0864N_002_035.jpg""}}"
