light_curve_id,kind,zooniverse_id,p_radius,p_period
639528,3,APH10561971,3.96,10.61
639529,3,APH10635349,10.43,10.86
639530,3,APH10423417,5.62,1.06
639531,3,APH10600470,2.43,14.6
639532,3,APH10610754,4.46,11.42
639533,3,APH10188402,2.81,10.92
639534,3,APH10257339,9.33,11.99
639535,3,APH10229935,6.95,4.47
639536,3,APH10280271,2.96,2.95
639537,3,APH10633444,2.09,7.2
639538,3,APH10603343,10.99,7.58
639539,3,APH10721718,3.1,7.85
639540,3,APH10567129,6.98,3.41
639541,3,APH10349445,4.44,5.89
639542,3,APH10537991,2.19,6.51
639543,3,APH10907538,2.6,0.81
639544,3,APH10271254,3.84,5.59
639545,3,APH10397716,10,3
639546,3,APH10281493,3.06,1.14
639547,3,APH10966942,5.73,5.13
639548,3,APH10961016,10.07,0.87
639549,3,APH10319613,5.58,14.97
639550,3,APH10897244,2.91,4.08
639551,3,APH10681061,2.71,12.94
639552,3,APH10472568,9.15,0.53
639553,3,APH10832740,3.44,8.96
639554,3,APH10365389,2.4,6.12
639555,3,APH10377231,14.01,9.48
639556,3,APH10951352,3.33,13.87
639557,3,APH10966394,5.25,0.82
639558,3,APH10814420,6.27,14.45
639559,3,APH10840799,6.81,3.03
639560,3,APH10694578,3.8,9.37
639561,3,APH10481311,4.08,4.76
639562,3,APH10794429,2.43,9.65
639563,3,APH10944391,8.8,13.42
639564,3,APH10885002,11.22,13.66
639565,3,APH10639590,3.49,9.25
639566,3,APH10912151,2.71,1.31
639567,3,APH10615583,2.45,9.93
639568,3,APH10472631,2.33,14.06
639569,3,APH10735155,2.57,1.22
639570,3,APH10511175,2.9,3.31
639571,3,APH10884586,9.27,8.43
639572,3,APH10510285,4.94,14.39
639573,3,APH10435329,3.9,9.74
639574,3,APH10153550,2.02,4.96
639575,3,APH10475964,2.31,5.87
639576,3,APH10223676,14.49,7.29
639577,3,APH10965202,3.88,4.65
639578,3,APH10341910,4.06,2.26
639579,3,APH10743073,4.96,3.28
639580,3,APH10369322,3.4,4.57
639581,3,APH10949480,4.33,5.53
639582,3,APH10642902,4.96,4.89
639583,3,APH10249622,2.78,4.27
639584,3,APH10820252,5.9,7.5
639585,3,APH10772167,13.98,12.71
639586,3,APH10158066,2.25,11.76
639587,3,APH10886366,5.79,14.76
639588,3,APH10630839,10.47,9.11
639589,3,APH10399881,2.07,8.93
639590,3,APH10413783,6.89,3.58
639591,3,APH10251584,2.66,12.92
639592,3,APH10483982,9.11,12.84
639593,3,APH10521515,2.27,3.23
639594,3,APH10672919,6.71,9.08
639595,3,APH10525095,2.01,11.93
639596,3,APH10761025,2.77,10.01
639597,3,APH10439917,3.63,8.73
639598,3,APH10199375,2.38,2.18
639599,3,APH10449573,12.88,12.83
639600,3,APH10154303,2.76,11.8
639601,3,APH10385886,2.31,4.21
639602,3,APH10844748,2.91,2.25
639603,3,APH10309633,4.22,3.65
639604,3,APH10810989,4.32,11.64
639605,3,APH10761686,12.03,12.75
639606,3,APH10756118,5.91,8.49
639607,3,APH10420209,2.97,3.09
639608,3,APH10236623,7.42,8.82
639609,3,APH10764293,3.4,9.18
639610,3,APH10820755,6.81,0.54
639611,3,APH10506077,3.47,3.98
639612,3,APH10390951,2.49,11.23
639613,3,APH10229486,2.85,9.56
639614,3,APH10805394,3.19,10.45
639615,3,APH10502526,2.07,6.53
639616,3,APH10907005,6.05,8.89
639617,3,APH10960044,10.07,5.47
639618,3,APH10228551,4.79,12.97
639619,3,APH10542286,6.67,14.9
639620,3,APH10798750,6.7,4.19
639621,3,APH10483356,6.36,14.24
639622,3,APH10610052,3.43,2.52
639623,3,APH10658949,2.78,4.95
639624,3,APH10375463,11.71,2.25
639625,3,APH10584907,3.73,8.93
639626,3,APH10499234,3.3,9.68
639627,3,APH10998792,14.19,5.21
639628,3,APH10614770,3.33,1.54
639629,3,APH10224509,2.89,4.84
639630,3,APH10335708,2.53,4.94
639631,3,APH10923865,4.3,11.75
639632,3,APH10176737,6.98,1.96
639633,3,APH10677335,2.66,4.36
639634,3,APH10441446,14.64,13.56
639635,3,APH10727501,6.9,3.81
